trade_id,decision_id,symbol,timeframe,side,entry_time,exit_time,entry_session,exit_reason,units,lots,entry_price,exit_price,stop_loss,take_profit,commission,slippage_entry,slippage_exit,gross_pnl,net_pnl,bars_held
trade-000001,cycle-000020,EURUSD,M5,buy,2024-01-02T09:45:00+00:00,2024-01-02T10:10:00+00:00,LONDON,STOP_LOSS,100000,1.0,1.1012963859099167,1.100436385909917,1.100556385909917,1.101806385909917,0.0,0.00012000000000000002,0.00012000000000000002,-85.99999999996388,-85.99999999996388,6
trade-000002,cycle-000032,EURUSD,M5,sell,2024-01-02T10:45:00+00:00,2024-01-02T11:20:00+00:00,LONDON,TAKE_PROFIT,99000,0.99,1.100393316141088,1.0999683161410876,1.1010983161410877,1.0998483161410877,0.0,0.00012000000000000002,0.00012000000000000002,42.07500000003384,42.07500000003384,8
trade-000003,cycle-000040,EURUSD,M5,sell,2024-01-02T11:25:00+00:00,2024-01-02T13:35:00+00:00,LONDON,STOP_LOSS,99000,0.99,1.0997544076329258,1.1005449545051524,1.1004249545051525,1.0991749545051526,0.0,0.0001155468722269864,0.00012000000000000002,-78.26414035044161,-78.26414035044161,27
trade-000004,cycle-000073,EURUSD,M5,buy,2024-01-02T14:10:00+00:00,2024-01-02T15:20:00+00:00,NEW_YORK,STOP_LOSS,92000,0.92,1.1005826389896654,1.0997285236639844,1.0998485236639843,1.101183811978187,0.0,0.00012000000000000002,0.00012000000000000002,-78.57860996264421,-78.57860996264421,15
trade-000005,cycle-000276,EURUSD,M5,buy,2024-01-03T07:05:00+00:00,2024-01-03T09:05:00+00:00,LONDON,TAKE_PROFIT,97000,0.97,1.1033729800757144,1.1038079800757146,1.1026779800757145,1.1039279800757145,0.0,0.00012000000000000002,0.00012000000000000002,42.19500000001797,42.19500000001797,25
trade-000006,cycle-000301,EURUSD,M5,buy,2024-01-03T09:10:00+00:00,2024-01-03T10:05:00+00:00,LONDON,TAKE_PROFIT,98000,0.98,1.1042417187208855,1.1046567187208858,1.1035267187208857,1.1047767187208857,0.0,0.00012000000000000002,0.00012000000000000002,40.67000000002707,40.67000000002707,12
trade-000007,cycle-000313,EURUSD,M5,buy,2024-01-03T10:10:00+00:00,2024-01-03T12:00:00+00:00,LONDON,TAKE_PROFIT,98000,0.98,1.1049767395399426,1.1054153012089096,1.1042767395399427,1.1055267395399426,0.0,0.00012000000000000002,0.00011143833103292931,42.97904355877114,42.97904355877114,23
trade-000008,cycle-000336,EURUSD,M5,buy,2024-01-03T12:05:00+00:00,2024-01-03T12:55:00+00:00,NEW_YORK,TAKE_PROFIT,99000,0.99,1.1056979412108534,1.106150456770518,1.1050114308068,1.1062614308068,0.0,0.00011651040405348028,0.00011097403628201672,44.79904040679883,44.79904040679883,11
trade-000009,cycle-000347,EURUSD,M5,buy,2024-01-03T13:00:00+00:00,2024-01-03T13:10:00+00:00,NEW_YORK,STOP_LOSS,99000,0.99,1.1064101741055294,1.1056001741055297,1.1057201741055296,1.1069701741055296,0.0,0.00012000000000000002,0.00012000000000000002,-80.18999999997578,-80.18999999997578,3
trade-000010,cycle-000359,EURUSD,M5,sell,2024-01-03T14:00:00+00:00,2024-01-03T15:05:00+00:00,NEW_YORK,STOP_LOSS,98000,0.98,1.1054707281003082,1.106320728100308,1.1062007281003081,1.1049507281003081,0.0,0.00012000000000000002,0.00012000000000000002,-83.29999999997995,-83.29999999997995,14
trade-000011,cycle-000379,EURUSD,M5,buy,2024-01-03T15:40:00+00:00,2024-01-03T16:00:00+00:00,NEW_YORK,STOP_LOSS,98000,0.98,1.1059338328546593,1.1051038328546596,1.1052238328546595,1.1064738328546595,0.0,0.00012000000000000002,0.00012000000000000002,-81.3399999999671,-81.3399999999671,5
